	term	domain	category	sense	AR	DC	en	es	fr	id
176	אוּרִיָּה	PN	person	3	False	False	Uriah	hisopo	Ouriya	Uria
177	אוּרִיָּה	PN	person	4	False	False	Uriah	recordación	Ouriya	Uria
178	אוּרִיָּהוּ	PN	person		False	False	Uriah	Uzén-seerá	Ouriyahou	Uria
179	אוֹת	RI	signs and wonders	1	False	False	miraculous sign	Aznot-tabor	signe	tanda ajaib
180	אוֹת	RE	association	2	False	False	sign	Ozní	signe	panji
181	אוֹת	RE	monument	3	False	False	sign	Oznita	signe	tanda
182	אֶזְבַּי	PN	person		False	False	Ezbai	Azanías	Ezbaï	Esbai
183	אֵזוֹב	FL	religious activities		False	False	hyssop	nativo	hysope	hisop
184	אַזְכָּרָה	RI	sacrifices and offerings		False	False	memorial or token portion	Ezraíta	partie commémorative ou symbolique	bagian ingat-ingatan
185	אֻזֵן	PN	settlement		False	False	Uzzen-Sheerah	chacal	Ouzên-Shééra	Uzen-Seera
186	אַזְנוֹת	PN	area		False	False	Aznoth-Tabor	Ahab	Aznoth-Tabor	Aznot-Tabor
187	אָזְנִי	PN	person	1	False	False	Ozni	Ahab	d'Ozni	Ozni
188	אָזְנִי	PN	group	2	False	False	Oznite	Ahab	Oznite	Ozni
189	אֲזַנְיָה	PN	person		False	False	Azaniah	Ahbán	Azanya	Azanya
190	אֶזְרָח	BE	people		False	False	native	junco	indigène	asli
191	אֶזְרָחִי	PN	group		False	False	Ezrahite	Ehud	Ezrahite	orang Ezrahi
192	אֹחַ	FA	mammals; wild animals		False	False	jackal	Ahóah	chacal	serigala
193	אַחְאָב	PN	person	1	False	False	Ahab	Ahohíta	Akhab	Ahab
194	אַחְאָב	PN	person	2	False	False	Ahab	Ahumai	Akhab	Ahab
195	אֶחָב	PN	person		False	False	Ahab	Ahaz	Akhab	Ahab
196	אַחְבָּן	PN	person		False	False	Ahban	Ahaz	Ahbân	Ahban
197	אָחוּ	FL	grasses		False	False	reeds	Ahzai	herbe	alang-alang
198	אֵחוּד	PN	person		False	False	Ehud	Ocozías	Ehoud	Ehud
199	אֲחוֹחַ	PN	person		False	False	Ahoah	Ocozías	Ahoah	Ahoah
200	אֲחוֹחִי	PN	person		False	False	Ahohite	Ocozías	Ahohite	Ahohi
201	אֲחוּמַי	PN	person		False	False	Ahumai	Ocozías	Ahoumaï	Ahumai
202	אָחָז	PN	person	1	False	False	Ahaz	Ahuzam	Akhaz	Ahas
203	אָחָז	PN	person	2	False	False	Ahaz	Ahuzat	Ahaz	Ahas
204	אַחְזַי	PN	person		False	False	Ahzai	Ehi	Ahzaï	Ahzai
205	אֲחַזְיָה	PN	person	1	False	False	Ahaziah	Ahí	Akhazias	Ahazia
206	אֲחַזְיָה	PN	person	2	False	False	Ahaziah	Aguí	Akhazias	Ahazia
207	אֲחַזְיָהוּ	PN	person	1	False	False	Ahaziah	Ahiam	Akhazias	Ahazia
208	אֲחַזְיָהוּ	PN	person	2	False	False	Ahaziah	Ahías	Akhazias	Ahazia
209	אֲחֻזָּם	PN	person		False	False	Ahuzzam	Ahías	Ahouzzam	Ahuzam
210	אֲחֻזַּת	PN	person		False	False	Ahuzzath	Ahías	Ahouzzath	Ahuzat
211	אֵחִי	PN	person		False	False	Ehi	Ahías	Ehi	Ehi
212	אֲחִי	PN	person	1	False	False	Ahi	Ahías	Ahi	Ahi
213	אֲחִי	PN	person	2	False	False	Ahi	Ahías	Ahi	Ahi
214	אֲחִיאָם	PN	person		False	False	Ahiam	Ahías	Ahiam	Ahiam
215	אֲחִיָּה	PN	person	1	False	False	Ahijah	Ahías	Ahiyya	Ahia
216	אֲחִיָּה	PN	person	2	False	False	Ahijah	Ahías	Ahiyya	Ahia
217	אֲחִיָּה	PN	person	3	False	False	Ahijah	Ahías	Ahiyya	Ahia
218	אֲחִיָּה	PN	person	4	False	False	Ahijah	Ahihud	Ahiyya	Ahia
219	אֲחִיָּה	PN	person	5	False	False	Ahijah	Ahió	Ahiyya	Ahia
220	אֲחִיָּה	PN	person	6	False	False	Ahijah	Ahió	Ahiyya	Ahia
221	אֲחִיָּה	PN	person	7	False	False	Ahijah	Ahió	Ahiyya	Ahia
222	אֲחִיָּה	PN	person	8	False	False	Ahijah	Ahihud	Ahia	Ahia
223	אֲחִיָּה	PN	person	9	False	False	Ahijah	Ahitub	Ahiyya	Ahia
224	אֲחִיָּהוּ	PN	person		False	False	Ahijah	Ahitub	Ahiyya	Ahia
225	אֲחִיהוּד	PN	person		False	False	Ahihud	Ahitub	Ahihoud	Ahihud
226	אַחְיוֹ	PN	person	1	False	False	Ahio	Ahitub	Ahyo	Ahyo
227	אַחְיוֹ	PN	person	2	False	False	Ahio	Ahilud	Ahyo	Ahyo
228	אַחְיוֹ	PN	person	3	False	False	Ahio	Ahilud	Ahyo	Ahyo
229	אֲחִיחֻד	PN	person		False	False	Ahihud	Ahimot	Ahihoud	Ahihud
230	אֲחִיטוּב	PN	person	1	False	False	Ahitub	Ahimélec	Ahitouv	Ahitub
231	אֲחִיטוּב	PN	person	2	False	False	Ahitub	Ahimélec	Ahitouv	Ahitub
232	אֲחִיטוּב	PN	person	3	False	False	Ahitub	Ahimélec	Ahitouv	Ahitub
233	אֲחִיטוּב	PN	person	4	False	False	Ahitub	Ahimán	Ahitouv	Ahitub
234	אֲחִילוּד	PN	person	1	False	False	Ahilud	Ahimán	Ahiloud	Ahilud
235	אֲחִילוּד	PN	person	2	False	False	Ahilud	Ahimaas	Ahiloud	Ahilud
236	אֲחִימוֹת	PN	person		False	False	Ahimoth	Ahimaas	Ahimoth	Ahimot
237	אֲחִימֶלֶךְ	PN	person	1	False	False	Ahimelech	Ahimaas	Ahimélek	Ahimelekh
238	אֲחִימֶלֶךְ	PN	person	2	False	False	Ahimelech	Ahián	Ahimélek	Ahimelekh
239	אֲחִימֶלֶךְ	PN	person	3	False	False	Ahimelech	Ahinadab	Ahimélek	Ahimelekh
240	אֲחִימַן	PN	person	1	False	False	Ahiman	Ahinóam	Ahimân	Ahiman
241	אֲחִימַן	PN	person	2	False	False	Ahiman	Ahinóam	Ahimân	Ahiman
242	אֲחִימַעַץ	PN	person	1	False	False	Ahimaaz	Ahisamac	Ahimaaç	Ahimaas
243	אֲחִימַעַץ	PN	person	2	False	False	Ahimaaz	Ahiézer	Ahimaaç	Ahimaas
244	אֲחִימַעַץ	PN	person	3	False	False	Ahimaaz	Ahiézer	Ahimaaç	Ahimaas
245	אַחְיָן	PN	person		False	False	Ahian	Ahicam	Ahyân	Ahyan
246	אֲחִינָדָב	PN	person		False	False	Ahinadab	Ahiram	Ahinadav	Ahinadab
247	אֲחִינֹעַם	PN	person	1	False	False	Ahinoam	Ahiram	Ahinoam	Ahinoam
248	אֲחִינֹעַם	PN	person	2	False	False	Ahinoam	Ahirá	Ahinoam	Ahinoam
249	אֲחִיסָמָךְ	PN	person		False	False	Ahisamach	Ahisáhar	Ahisamak	Ahisamakh
250	אֲחִיעֶזֶר	PN	person	1	False	False	Ahiezer	Ahisar	Ahiézer	Abiezer
251	אֲחִיעֶזֶר	PN	person	2	False	False	Ahiezer	Ahitófel	Ahiézer	Ahiezer
252	אֲחִיקָם	PN	person		False	False	Ahikam	Ahlab	Ahiqam	Ahikam
253	אֲחִירָם	PN	person		False	False	Ahiram	Ahlai	Ahiram	Ahiram
254	אֲחִירָמִי	PN	person		False	False	Ahiramite	Ahlai	Ahiramites	Ahiram
255	אֲחִירַע	PN	person		False	False	Ahira	amatista	Ahira	Ahira
256	אֲחִישַׁחַר	PN	person		False	False	Ahishahar	Ecbatana	Ahishahar	Ahisahar
257	אֲחִישָׁר	PN	person		False	False	Ahishar	Ahasbai	Ahishar	Ahisar
258	אֲחִיתֹפֶל	PN	person		False	False	Ahithophel	Ahrah	Ahitofel	Ahitofel
259	אַחְלָב	PN	settlement		False	False	Ahlab	Aharhel	Ahlav	Ahlab
260	אַחְלַי	PN	person	1	False	False	Ahlai	Asuero	Ahlaï	Ahlai
261	אַחְלַי	PN	person	2	False	False	Ahlai	espina	Ahlaï	Ahlai
262	אַחְלָמָה	RE	value		False	False	amethyst	lino	améthyste	batu permata
263	אַחְמְתָא	PN	settlement		True	False	Ecbatana	Ater	Ecbatane	Ahmeta
264	אֲחַסְבַּי	PN	person		False	False	Ahasbai	Ater	Ahasbaï	Ahasbai
265	אַחְרַח	PN	person		False	False	Aharah	chacal	Ahra	Ahrah
266	אֲחַרְחֵל	PN	person		False	False	Aharhel	halcón	Aharhel	Aharhel
267	אֲחַשְׁוֵרוֹשׁ	PN	person		False	False	Ahasuerus	Aiá	Xerxès	Ahasyweros
268	אָטָד	FL	trees; weeds and thorns		False	False	thorn	Aiá	chardon	semak duri
269	אֵטוּן	RE	cloth		False	False	linen	Job	lin	kain lenan
270	אָטֵר	PN	person	1	False	False	Ater	Jezabel	Atér	Ater
271	אָטֵר	PN	person	2	False	False	Ater	Icabod	Atér	Ater
272	אִי	FA	mammals; wild animals; violence, harm, destroy, kill		False	False	hyena or jackal	ciervo	hyène	serigala
273	אַיָּה	FA	birds	1	False	False	falcon or hawk	carnero	faucon	burung elang
274	אַיָּה	PN	person	2	False	False	Aiah	poderoso	Ayya	Aya
275	אַיָּה	PN	person	3	False	False	Aiah	encina sagrada	Ayya	Aya
276	אִיּוֹב	PN	person		False	False	Job	pilar	Job	Ayub
277	אִיזֶבֶל	PN	person		False	False	Jezebel	El-parán	Jézabel	Izebel
278	אִיכָבוֹד	PN	person		False	False	Ichabod	cierva o gamo común	Ikavod	Ikabod
279	אַיָּל	FA	mammals; wild animals		False	False	fallow deer	Aialón	cerf	rusa
280	אַיִל	FA	mammals; domestic animals	1	False	False	ram	Aialón	bélier	domba jantan
281	אַיִל	AT	strength	2	False	False	leader	Elón	térébinthe	pemimpin
282	אַיִל	FL	trees	3	False	False	terebinth	Elón	térébinthe	pohon keramat
283	אַיִל	RE	construction	4	False	False	side wall	Elón	pilier	tiang pintu
284	אֵיל	PN	settlement		False	False	El Paran	Elat	Eil-Parân	El-Paran
285	אַיָּלָה,	FA	mammals; wild animals		False	False	female fallow deer	Elim	gazelle	rusa betina
286	אַיָּלוֹן	PN	settlement	1	False	False	Aijalon	Elat	Ayyalôn	Ayalon
287	אַיָּלוֹן	PN	settlement	2	False	False	Aijalon	terror	Elôn	Ayalon
288	אֵילוֹן	PN	person	1	False	False	Elon	Emitas	Elôn	Elon
289	אֵילוֹן	PN	settlement	2	False	False	Elon	Iézer	Elôn	Elon
290	אֵילוֹן	PN	person	3	False	False	Elon	Jezerita	Elôn	Elon
291	אֵילוֹת	PN	settlement		False	False	Eloth	Is-bóset	Eilath	Elot
292	אֵילִם	PN	settlement		False	False	Elim	Is-hod	Elim	Elim
293	אֵילַת	PN	settlement		False	False	Elath	Jesé	Eilath	Elat
294	אֵימָה	AT	attitudes and emotions		False	False	terror	Itai	terreur	ketakutan
295	אֵימִים	PN	group		False	False	Emim	Itiel	Emites	Emim
296	אִיעֶזֶר	PN	person		False	False	Iezer	Itiel	Iézer	Iezer
297	אִיעֶזְרִי	PN	person		False	False	Iezrite	Itamar	Iézérites	Iezer
298	אִישׁ	PN	person		False	False	Ish-Bosheth	Etán	Ishbosheth	Isyot
299	אִישְׁהוֹד	PN	person		False	False	Ishhod	Etán	Ishehod	Isyhod
300	אִישַׁי	PN	person		False	False	Jesse	Etán	Jessé	Isai
301	אִיתַי	PN	person		False	False	Ithai	Etán	Itaï	Itai
302	אִיתִיאֵל	PN	person	1	False	False	Ithiel	Acad	Itiël	Itiel
303	אִיתִיאֵל	PN	person	2	False	False	Ithiel	Aczib	Itiël	Itiel
304	אִיתָמָר	PN	person		False	False	Ithamar	Aczib	Itamar	Itamar
305	אֵיתָן	PN	person	1	False	False	Ethan	Aquís	Etân	Etan
306	אֵיתָן	PN	person	2	False	False	Ethan	Ucal	Etân	Etan
307	אֵיתָן	PN	person	3	False	False	Ethan	Acsaf	Etân	Etan
308	אֵיתָן	PN	person	4	False	False	Ethan	dios	Etân	Etan
